ID,default_flag,predicted_pd,risk_band
9397,0,0.5511725,Very High
9398,0,0.14555301,Moderate
9399,0,0.03307053,Low
9400,1,0.116338335,Moderate
9401,1,0.14386025,Moderate
9402,0,0.09835566,Low
9403,0,0.18655927,Moderate
9404,0,0.05660693,Low
9405,0,0.08944287,Low
9406,0,0.22322148,Moderate
9407,1,0.23081009,Moderate
9408,0,0.2362936,Moderate
9409,0,0.3512398,High
9410,0,0.07408022,Low
9411,0,0.055425413,Low
9412,0,0.14004332,Moderate
9413,0,0.35067713,High
9414,1,0.82264805,Very High
9415,0,0.05919964,Low
9416,0,0.32556412,High
9417,0,0.09189764,Low
9418,0,0.09378909,Low
9419,0,0.26213974,High
9420,0,0.5889896,Very High
9421,0,0.08966394,Low
9422,0,0.13128506,Moderate
9423,0,0.023854796,Low
9424,0,0.07760723,Low
9425,1,0.23616287,Moderate
9426,0,0.29042387,High
9427,0,0.15243536,Moderate
9428,0,0.18608993,Moderate
9429,1,0.3774038,High
9430,0,0.5458817,Very High
9431,0,0.18668932,Moderate
9432,0,0.043805305,Low
9433,0,0.18474863,Moderate
9434,1,0.19447584,Moderate
9435,0,0.23829502,Moderate
9436,0,0.47057724,High
9437,0,0.07561953,Low
9438,1,0.70206535,Very High
9439,0,0.16833422,Moderate
9440,1,0.20045169,Moderate
9441,0,0.2568043,High
9442,0,0.09785027,Low
9443,0,0.07261169,Low
9444,0,0.11380731,Moderate
9445,0,0.15999003,Moderate
9446,1,0.3312555,High
9447,0,0.17614415,Moderate
9448,0,0.1925247,Moderate
9449,0,0.10237633,Moderate
9450,1,0.18988898,Moderate
9451,0,0.029414484,Low
9452,1,0.81054395,Very High
9453,0,0.12303475,Moderate
9454,0,0.17163302,Moderate
9455,0,0.14322627,Moderate
9456,0,0.16088527,Moderate
9457,0,0.025546838,Low
9458,1,0.5844795,Very High
9459,1,0.08930539,Low
9460,0,0.05908003,Low
9461,1,0.093457356,Low
9462,0,0.043211438,Low
9463,1,0.79165554,Very High
9464,0,0.3680749,High
9465,0,0.09978935,Low
9466,0,0.21701685,Moderate
9467,0,0.034038663,Low
9468,0,0.1983085,Moderate
9469,1,0.3230652,High
9470,0,0.13093257,Moderate
9471,0,0.06920746,Low
9472,0,0.056316413,Low
9473,1,0.6972812,Very High
9474,0,0.085157424,Low
9475,0,0.06260134,Low
9476,1,0.33012938,High
9477,0,0.2728694,High
9478,1,0.16029127,Moderate
9479,0,0.03909065,Low
9480,1,0.360396,High
9481,1,0.43733636,High
9482,0,0.25499082,High
9483,0,0.11123174,Moderate
9484,1,0.7859246,Very High
9485,0,0.04400381,Low
9486,0,0.30868906,High
9487,0,0.033135913,Low
9488,0,0.023650456,Low
9489,1,0.21367878,Moderate
9490,0,0.16441262,Moderate
9491,0,0.14097916,Moderate
9492,0,0.159526,Moderate
9493,1,0.519126,Very High
9494,1,0.16553271,Moderate
9495,1,0.6853085,Very High
9496,0,0.13561614,Moderate
9497,0,0.093469836,Low
9498,0,0.03426775,Low
9499,0,0.13465835,Moderate
9500,0,0.2102282,Moderate
9501,0,0.10694049,Moderate
9502,0,0.04358374,Low
9503,0,0.13199532,Moderate
9504,0,0.22841588,Moderate
9505,0,0.09072473,Low
9506,0,0.077630326,Low
9507,0,0.23109093,Moderate
9508,0,0.36513925,High
9509,0,0.16812275,Moderate
9510,0,0.100550376,Moderate
9511,0,0.0420436,Low
9512,0,0.14040846,Moderate
9513,0,0.02799421,Low
9514,0,0.07650492,Low
9515,0,0.13558784,Moderate
9516,0,0.06783348,Low
9517,0,0.046532433,Low
9518,1,0.5209504,Very High
9519,0,0.042655848,Low
9520,0,0.524185,Very High
9521,0,0.16670765,Moderate
9522,0,0.68332857,Very High
9523,0,0.040236413,Low
9524,0,0.16861875,Moderate
9525,0,0.08946583,Low
9526,0,0.06506054,Low
9527,0,0.059096266,Low
9528,1,0.27099937,High
9529,0,0.14140044,Moderate
9530,0,0.024183635,Low
9531,0,0.063493855,Low
9532,1,0.28144756,High
9533,1,0.18819068,Moderate
9534,1,0.4732278,High
9535,0,0.06188702,Low
9536,0,0.12175464,Moderate
9537,1,0.09472613,Low
9538,1,0.75412035,Very High
9539,0,0.106817044,Moderate
9540,0,0.14248285,Moderate
9541,0,0.09147796,Low
9542,0,0.22610791,Moderate
9543,0,0.11976233,Moderate
9544,1,0.18976909,Moderate
9545,0,0.18028699,Moderate
9546,0,0.054705385,Low
9547,0,0.15776363,Moderate
9548,0,0.023985606,Low
9549,0,0.2523866,High
9550,0,0.35161668,High
9551,0,0.74953645,Very High
9552,0,0.17150737,Moderate
9553,0,0.14278316,Moderate
9554,0,0.2127935,Moderate
9555,0,0.28402415,High
9556,0,0.021914188,Low
9557,1,0.39133447,High
9558,0,0.15602213,Moderate
9559,0,0.09711033,Low
9560,1,0.21312551,Moderate
9561,0,0.09533443,Low
9562,0,0.1055709,Moderate
9563,1,0.80254215,Very High
9564,0,0.106861934,Moderate
9565,0,0.061010785,Low
9566,0,0.02540633,Low
9567,1,0.49682817,High
9568,0,0.10209649,Moderate
9569,1,0.19583635,Moderate
9570,0,0.43089882,High
9571,0,0.6406948,Very High
9572,0,0.22981662,Moderate
9573,0,0.16422437,Moderate
9574,0,0.28956383,High
9575,0,0.15329717,Moderate
9576,0,0.025890883,Low
9577,1,0.44811073,High
9578,0,0.13405213,Moderate
9579,0,0.122257166,Moderate
9580,0,0.27282333,High
9581,0,0.07062853,Low
9582,0,0.12757905,Moderate
9583,1,0.7509619,Very High
9584,1,0.8557761,Very High
9585,1,0.7580281,Very High
9586,0,0.25733218,High
9587,1,0.19234526,Moderate
9588,0,0.2965565,High
9589,0,0.074420065,Low
9590,1,0.22069332,Moderate
9591,0,0.18802038,Moderate
9592,0,0.16643487,Moderate
9593,0,0.028921036,Low
9594,1,0.72396916,Very High
9595,0,0.06429348,Low
9596,0,0.24009758,Moderate
9597,0,0.4328375,High
9598,0,0.048699785,Low
9599,0,0.022956137,Low
9600,0,0.37006134,High
9601,0,0.32762265,High
9602,0,0.063980244,Low
9603,0,0.058343682,Low
9604,0,0.2580831,High
9605,1,0.20311032,Moderate
9606,0,0.05045868,Low
9607,0,0.06489807,Low
9608,0,0.27034765,High
9609,0,0.09950868,Low
9610,1,0.36833724,High
9611,0,0.06130466,Low
9612,0,0.067041926,Low
9613,0,0.034962974,Low
9614,1,0.7988155,Very High
9615,0,0.21642384,Moderate
9616,0,0.23974833,Moderate
9617,0,0.38289902,High
9618,0,0.24611719,Moderate
9619,0,0.08610927,Low
9620,1,0.38809046,High
9621,0,0.089168966,Low
9622,0,0.17632538,Moderate
9623,0,0.14951244,Moderate
9624,0,0.11732531,Moderate
9625,0,0.39060166,High
9626,1,0.45123944,High
9627,0,0.14629652,Moderate
9628,0,0.01906477,Low
9629,1,0.24790455,Moderate
9630,0,0.105289474,Moderate
9631,0,0.66570306,Very High
9632,0,0.05049931,Low
9633,1,0.6711258,Very High
9634,0,0.16911323,Moderate
9635,0,0.19626018,Moderate
9636,0,0.13608363,Moderate
9637,0,0.22914445,Moderate
9638,0,0.31110564,High
9639,0,0.24678595,Moderate
9640,0,0.029856846,Low
9641,1,0.5009496,Very High
9642,0,0.04571754,Low
9643,0,0.09804793,Low
9644,0,0.1463935,Moderate
9645,0,0.16729642,Moderate
9646,0,0.06210386,Low
9647,0,0.44404778,High
9648,0,0.06280334,Low
9649,0,0.024154143,Low
9650,0,0.09812965,Low
9651,1,0.7539012,Very High
9652,0,0.08876363,Low
9653,0,0.1866608,Moderate
9654,0,0.15409867,Moderate
9655,0,0.06993728,Low
9656,0,0.17377862,Moderate
9657,0,0.2313986,Moderate
9658,0,0.08218277,Low
9659,0,0.20819893,Moderate
9660,0,0.33083308,High
9661,1,0.7878787,Very High
9662,1,0.79520327,Very High
9663,0,0.19628756,Moderate
9664,0,0.1396996,Moderate
9665,1,0.34137607,High
9666,1,0.09563994,Low
9667,0,0.114554316,Moderate
9668,1,0.3750219,High
9669,0,0.054857787,Low
9670,0,0.129267,Moderate
9671,0,0.07874888,Low
9672,0,0.87523705,Very High
9673,0,0.03207749,Low
9674,0,0.07081956,Low
9675,1,0.26661602,High
9676,0,0.17365536,Moderate
9677,0,0.67983276,Very High
9678,0,0.067148,Low
9679,0,0.090995274,Low
9680,0,0.11393142,Moderate
9681,0,0.5455398,Very High
9682,0,0.016797109,Low
9683,0,0.057460714,Low
9684,0,0.16069134,Moderate
9685,1,0.74179196,Very High
9686,0,0.13061228,Moderate
9687,0,0.12457908,Moderate
9688,0,0.07702627,Low
9689,0,0.07105911,Low
9690,0,0.34735772,High
9691,0,0.061300445,Low
9692,0,0.5306036,Very High
9693,1,0.13076742,Moderate
9694,0,0.12170707,Moderate
9695,1,0.7427779,Very High
9696,0,0.17726889,Moderate
9697,1,0.574806,Very High
9698,0,0.14029147,Moderate
9699,0,0.21542017,Moderate
9700,1,0.56827474,Very High
9701,0,0.061242286,Low
9702,0,0.23496851,Moderate
9703,0,0.13975881,Moderate
9704,0,0.18557608,Moderate
9705,0,0.21158174,Moderate
9706,0,0.28010058,High
9707,1,0.76315415,Very High
9708,1,0.16872089,Moderate
9709,0,0.18055913,Moderate
9710,0,0.10918158,Moderate
9711,0,0.18584372,Moderate
9712,0,0.14958964,Moderate
9713,0,0.07933663,Low
9714,0,0.24165125,Moderate
9715,0,0.74998313,Very High
9716,0,0.38767105,High
9717,0,0.09792467,Low
9718,0,0.12272219,Moderate
9719,1,0.2764954,High
9720,0,0.07680713,Low
9721,0,0.09029593,Low
9722,1,0.17985335,Moderate
9723,0,0.075157985,Low
9724,0,0.041793726,Low
9725,0,0.16030279,Moderate
9726,0,0.11566703,Moderate
9727,1,0.25029606,High
9728,0,0.05578066,Low
9729,0,0.04624525,Low
9730,0,0.037941758,Low
9731,0,0.494125,High
9732,1,0.6760361,Very High
9733,1,0.6967713,Very High
9734,0,0.08702711,Low
9735,0,0.12967932,Moderate
9736,0,0.24038573,Moderate
9737,0,0.08922536,Low
9738,0,0.10772974,Moderate
9739,0,0.0895343,Low
9740,0,0.24221453,Moderate
9741,0,0.14898011,Moderate
9742,0,0.16666219,Moderate
9743,0,0.061243333,Low
9744,0,0.26771864,High
9745,0,0.16225994,Moderate
9746,0,0.083076276,Low
9747,0,0.05128751,Low
9748,0,0.09895441,Low
9749,0,0.17957434,Moderate
9750,0,0.17425258,Moderate
9751,0,0.049776446,Low
9752,0,0.04821634,Low
9753,0,0.097442955,Low
9754,0,0.08602572,Low
9755,0,0.17439136,Moderate
9756,0,0.77269036,Very High
9757,0,0.13033752,Moderate
9758,0,0.061651725,Low
9759,0,0.10080679,Moderate
9760,1,0.13653398,Moderate
9761,0,0.052014768,Low
9762,0,0.18404298,Moderate
9763,1,0.088287644,Low
9764,0,0.018166518,Low
9765,1,0.6429175,Very High
9766,0,0.07154334,Low
9767,0,0.22422653,Moderate
9768,0,0.14345197,Moderate
9769,1,0.54034626,Very High
9770,0,0.02653694,Low
9771,1,0.2926169,High
9772,0,0.05224233,Low
9773,0,0.43459705,High
9774,0,0.09836096,Low
9775,0,0.06724997,Low
9776,0,0.13228957,Moderate
9777,0,0.11100093,Moderate
9778,0,0.07421202,Low
9779,1,0.70414776,Very High
9780,0,0.26514068,High
9781,0,0.13936168,Moderate
9782,1,0.7189673,Very High
9783,0,0.16557442,Moderate
9784,0,0.14518148,Moderate
9785,0,0.06318954,Low
9786,1,0.36782873,High
9787,0,0.10744665,Moderate
9788,1,0.79781103,Very High
9789,0,0.3593447,High
9790,0,0.07657047,Low
9791,0,0.23637107,Moderate
9792,1,0.6268476,Very High
9793,0,0.057530727,Low
9794,0,0.026085887,Low
9795,0,0.4625171,High
9796,1,0.046690606,Low
9797,0,0.16211827,Moderate
9798,0,0.0580799,Low
9799,1,0.42508847,High
9800,1,0.12821922,Moderate
9801,0,0.10392809,Moderate
9802,1,0.04796466,Low
9803,0,0.4132977,High
9804,0,0.25923544,High
9805,0,0.041923247,Low
9806,0,0.06756712,Low
9807,0,0.06718391,Low
9808,0,0.11522223,Moderate
9809,0,0.12926507,Moderate
9810,0,0.06947229,Low
9811,0,0.16103442,Moderate
9812,1,0.8138832,Very High
9813,0,0.25524244,High
9814,0,0.07352773,Low
9815,0,0.41632447,High
9816,0,0.521566,Very High
9817,0,0.20580244,Moderate
9818,0,0.29445028,High
9819,0,0.10041411,Moderate
9820,0,0.19401588,Moderate
9821,0,0.566075,Very High
9822,0,0.5504309,Very High
9823,0,0.13988405,Moderate
9824,1,0.332981,High
9825,0,0.18498817,Moderate
9826,0,0.12328713,Moderate
9827,1,0.18598641,Moderate
9828,0,0.112381734,Moderate
9829,1,0.24639392,Moderate
9830,0,0.18025145,Moderate
9831,0,0.106026836,Moderate
9832,0,0.113738775,Moderate
9833,1,0.763209,Very High
9834,0,0.10527841,Moderate
9835,0,0.14511119,Moderate
9836,0,0.24673444,Moderate
9837,0,0.09701912,Low
9838,0,0.06445795,Low
9839,1,0.6757123,Very High
9840,0,0.1289249,Moderate
9841,1,0.3639828,High
9842,1,0.19188555,Moderate
9843,1,0.5713396,Very High
9844,0,0.034170717,Low
9845,0,0.088103116,Low
9846,0,0.13712737,Moderate
9847,0,0.035528757,Low
9848,1,0.0627389,Low
9849,0,0.020186502,Low
9850,0,0.07950332,Low
9851,0,0.04724055,Low
9852,1,0.11637522,Moderate
9853,0,0.12229421,Moderate
9854,0,0.13621135,Moderate
9855,0,0.14244178,Moderate
9856,1,0.29199937,High
9857,1,0.61795384,Very High
9858,1,0.76534754,Very High
9859,0,0.2178055,Moderate
9860,0,0.15313226,Moderate
9861,0,0.040349327,Low
9862,0,0.069480106,Low
9863,0,0.11046464,Moderate
9864,0,0.19430862,Moderate
9865,0,0.09707359,Low
9866,1,0.16795161,Moderate
9867,0,0.40749052,High
9868,0,0.12198814,Moderate
9869,0,0.6877449,Very High
9870,1,0.1947838,Moderate
9871,1,0.80198437,Very High
9872,0,0.05150073,Low
9873,0,0.19883177,Moderate
9874,0,0.13953206,Moderate
9875,0,0.12614213,Moderate
9876,0,0.094886884,Low
9877,0,0.42409572,High
9878,0,0.029137284,Low
9879,0,0.13451755,Moderate
9880,0,0.09748188,Low
9881,1,0.7808634,Very High
9882,0,0.03926349,Low
9883,0,0.21945313,Moderate
9884,0,0.040053938,Low
9885,0,0.20053974,Moderate
9886,0,0.07160692,Low
9887,0,0.10582534,Moderate
9888,0,0.04406345,Low
9889,0,0.27343875,High
9890,0,0.3389199,High
9891,0,0.17292473,Moderate
9892,0,0.18873668,Moderate
9893,1,0.34593487,High
9894,0,0.102179244,Moderate
9895,0,0.0850784,Low
9896,0,0.12483963,Moderate
9897,0,0.06766517,Low
9898,1,0.15561943,Moderate
9899,0,0.06391613,Low
9900,0,0.06611481,Low
9901,0,0.3430364,High
9902,1,0.5782457,Very High
9903,1,0.6106339,Very High
9904,0,0.37764192,High
9905,1,0.24165292,Moderate
9906,0,0.4459291,High
9907,0,0.0352612,Low
9908,0,0.14189655,Moderate
9909,0,0.15183128,Moderate
9910,1,0.7427188,Very High
9911,0,0.17390361,Moderate
9912,0,0.23649094,Moderate
9913,0,0.043727364,Low
9914,0,0.62645143,Very High
9915,1,0.44395572,High
9916,0,0.27782756,High
9917,0,0.062177446,Low
9918,0,0.41996342,High
9919,1,0.7493043,Very High
9920,0,0.1346513,Moderate
9921,0,0.22913729,Moderate
9922,0,0.1675712,Moderate
9923,0,0.7049701,Very High
9924,0,0.14067672,Moderate
9925,0,0.11897115,Moderate
9926,0,0.066814214,Low
9927,0,0.11798064,Moderate
9928,1,0.31675065,High
9929,0,0.05426998,Low
9930,0,0.3191108,High
9931,0,0.11875325,Moderate
9932,0,0.036341988,Low
9933,1,0.6682159,Very High
9934,1,0.11653905,Moderate
9935,1,0.20893814,Moderate
9936,0,0.16983238,Moderate
9937,0,0.16996937,Moderate
9938,0,0.23566212,Moderate
9939,0,0.19951963,Moderate
9940,0,0.2657308,High
9941,1,0.47105736,High
9942,0,0.21011744,Moderate
9943,0,0.27100515,High
9944,0,0.09207473,Low
9945,0,0.29485962,High
9946,0,0.10232654,Moderate
9947,1,0.7025388,Very High
9948,0,0.059093248,Low
9949,1,0.119022466,Moderate
9950,0,0.57899004,Very High
9951,0,0.5828972,Very High
9952,1,0.11617291,Moderate
9953,1,0.770355,Very High
9954,0,0.09249968,Low
9955,1,0.3864087,High
9956,0,0.30412906,High
9957,0,0.065563515,Low
9958,1,0.75316095,Very High
9959,0,0.17053923,Moderate
9960,0,0.09447034,Low
9961,0,0.0827265,Low
9962,0,0.14255896,Moderate
9963,0,0.7510575,Very High
9964,0,0.01960765,Low
9965,1,0.12258747,Moderate
9966,0,0.040133845,Low
9967,0,0.05317367,Low
9968,0,0.23903668,Moderate
9969,0,0.12717624,Moderate
9970,0,0.13352682,Moderate
9971,1,0.19581516,Moderate
9972,0,0.123196624,Moderate
9973,1,0.10324593,Moderate
9974,0,0.04107,Low
9975,0,0.07613445,Low
9976,0,0.099466816,Low
9977,0,0.19308206,Moderate
9978,0,0.07887614,Low
9979,0,0.24324377,Moderate
9980,1,0.54954827,Very High
9981,0,0.036833823,Low
9982,0,0.13144414,Moderate
9983,0,0.20400824,Moderate
9984,0,0.082104295,Low
9985,0,0.225102,Moderate
9986,0,0.041460358,Low
9987,0,0.06717447,Low
9988,0,0.20520861,Moderate
9989,0,0.08106105,Low
9990,0,0.068228066,Low
9991,0,0.038868956,Low
9992,1,0.5257395,Very High
9993,1,0.7152649,Very High
9994,1,0.14347664,Moderate
9995,1,0.18994428,Moderate
9996,0,0.20694023,Moderate
9997,0,0.1721318,Moderate
9998,0,0.111728795,Moderate
9999,1,0.40532786,High
10000,0,0.058195453,Low
10001,0,0.17685977,Moderate
10002,0,0.23470226,Moderate
10003,0,0.3499193,High
10004,0,0.1433278,Moderate
10005,0,0.1293999,Moderate
10006,0,0.033445235,Low
10007,0,0.14027676,Moderate
10008,0,0.7292936,Very High
10009,1,0.3991717,High
10010,1,0.07868755,Low
10011,0,0.21593611,Moderate
10012,0,0.10709023,Moderate
10013,0,0.09974336,Low
10014,0,0.37204129,High
10015,0,0.063467145,Low
10016,0,0.05278984,Low
10017,0,0.06742946,Low
10018,0,0.33209977,High
10019,0,0.10128182,Moderate
10020,1,0.22967702,Moderate
10021,0,0.12022161,Moderate
10022,0,0.03323014,Low
10023,0,0.11956713,Moderate
10024,0,0.8958927,Very High
10025,1,0.08998229,Low
10026,1,0.14861703,Moderate
10027,0,0.1641643,Moderate
10028,0,0.1677704,Moderate
10029,0,0.06976721,Low
10030,0,0.026585609,Low
10031,0,0.037326433,Low
10032,0,0.21471508,Moderate
10033,1,0.14126684,Moderate
10034,0,0.037062123,Low
10035,1,0.15233792,Moderate
10036,0,0.095101096,Low
10037,0,0.053980175,Low
10038,0,0.11772187,Moderate
10039,0,0.12972298,Moderate
10040,0,0.25813252,High
10041,0,0.12139186,Moderate
10042,0,0.05207346,Low
10043,1,0.7963703,Very High
10044,0,0.30106473,High
10045,0,0.28131893,High
10046,0,0.14769194,Moderate
10047,1,0.12764476,Moderate
10048,0,0.0717466,Low
10049,0,0.20914382,Moderate
10050,0,0.12184912,Moderate
10051,0,0.052462537,Low
10052,0,0.14606693,Moderate
10053,0,0.12872712,Moderate
10054,1,0.20659423,Moderate
10055,0,0.18350762,Moderate
10056,0,0.036099378,Low
10057,0,0.18682352,Moderate
10058,0,0.08638117,Low
10059,0,0.32423136,High
10060,0,0.11191582,Moderate
10061,0,0.32752815,High
10062,0,0.2212964,Moderate
10063,0,0.3109752,High
10064,0,0.16567945,Moderate
10065,1,0.19528408,Moderate
10066,1,0.23267798,Moderate
10067,0,0.60277534,Very High
10068,0,0.11888183,Moderate
10069,0,0.033309765,Low
10070,1,0.6858841,Very High
10071,0,0.084850974,Low
10072,0,0.042735305,Low
10073,0,0.12198889,Moderate
10074,0,0.047917265,Low
10075,0,0.10401123,Moderate
10076,1,0.1541264,Moderate
10077,0,0.14154963,Moderate
10078,0,0.15666384,Moderate
10079,0,0.096246704,Low
10080,1,0.1338529,Moderate
10081,0,0.15130661,Moderate
10082,0,0.041768003,Low
10083,0,0.13522325,Moderate
10084,0,0.72676057,Very High
10085,0,0.08179323,Low
10086,0,0.081217565,Low
10087,1,0.47339818,High
10088,0,0.13175455,Moderate
10089,1,0.34352186,High
10090,0,0.06429225,Low
10091,0,0.05201726,Low
10092,1,0.6930837,Very High
10093,0,0.05497442,Low
10094,0,0.18691817,Moderate
10095,0,0.1709393,Moderate
10096,0,0.49913782,High
10097,0,0.12833771,Moderate
10098,0,0.29976574,High
10099,1,0.7175919,Very High
10100,1,0.1818498,Moderate
10101,0,0.10328783,Moderate
10102,0,0.12888213,Moderate
10103,1,0.8067202,Very High
10104,0,0.18027252,Moderate
10105,0,0.15637803,Moderate
10106,0,0.58373505,Very High
10107,0,0.40573075,High
10108,1,0.19877282,Moderate
10109,0,0.16688026,Moderate
10110,0,0.05686503,Low
10111,0,0.39694297,High
10112,1,0.4368292,High
10113,0,0.06899231,Low
10114,0,0.15129378,Moderate
10115,0,0.10638293,Moderate
10116,1,0.66263294,Very High
10117,1,0.37995705,High
10118,0,0.15262239,Moderate
10119,0,0.043201,Low
10120,0,0.23251644,Moderate
10121,1,0.7373843,Very High
10122,0,0.18412921,Moderate
10123,0,0.14619607,Moderate
10124,0,0.2061408,Moderate
10125,0,0.8385158,Very High
10126,0,0.1360437,Moderate
10127,0,0.04466461,Low
10128,1,0.14692628,Moderate
10129,1,0.4408068,High
10130,0,0.2365197,Moderate
10131,0,0.038145788,Low
10132,0,0.013349795,Low
10133,0,0.66424394,Very High
10134,0,0.35236123,High
10135,0,0.21935497,Moderate
10136,1,0.3799388,High
10137,0,0.1374131,Moderate
10138,0,0.08611585,Low
10139,1,0.29657367,High
10140,1,0.068021886,Low
10141,1,0.3252573,High
10142,0,0.08538251,Low
10143,0,0.8184347,Very High
10144,0,0.095991075,Low
10145,0,0.2345657,Moderate
10146,0,0.1096601,Moderate
10147,1,0.068236634,Low
10148,0,0.2894146,High
10149,0,0.32778916,High
10150,1,0.10179241,Moderate
10151,0,0.12676401,Moderate
10152,1,0.7644755,Very High
10153,0,0.088505216,Low
10154,0,0.11318283,Moderate
10155,0,0.1672846,Moderate
10156,1,0.5297205,Very High
10157,1,0.10667811,Moderate
10158,1,0.1812705,Moderate
10159,0,0.022839352,Low
10160,0,0.20162298,Moderate
10161,0,0.106895916,Moderate
10162,0,0.18014279,Moderate
10163,0,0.2686322,High
10164,0,0.09769472,Low
10165,1,0.17024298,Moderate
10166,0,0.13312246,Moderate
10167,1,0.2127568,Moderate
10168,1,0.3128921,High
10169,0,0.038931157,Low
10170,0,0.20988604,Moderate
10171,0,0.13384514,Moderate
10172,0,0.08460011,Low
10173,0,0.017307935,Low
10174,0,0.12475874,Moderate
10175,0,0.19056523,Moderate
10176,0,0.19957681,Moderate
10177,0,0.30787796,High
10178,0,0.14921077,Moderate
10179,0,0.16172601,Moderate
10180,0,0.13058557,Moderate
10181,1,0.68013424,Very High
10182,0,0.093239866,Low
10183,0,0.16943535,Moderate
10184,1,0.5359255,Very High
10185,0,0.54314274,Very High
10186,1,0.049127538,Low
10187,1,0.7031915,Very High
10188,0,0.03607428,Low
10189,1,0.18047443,Moderate
10190,0,0.047640406,Low
10191,0,0.15755707,Moderate
10192,0,0.10328101,Moderate
10193,0,0.24967201,Moderate
10194,0,0.1694392,Moderate
10195,1,0.65705305,Very High
10196,0,0.16105616,Moderate
10197,0,0.7822092,Very High
10198,0,0.05113005,Low
10199,1,0.1589527,Moderate
10200,0,0.1675356,Moderate
10201,0,0.11444391,Moderate
10202,0,0.3293453,High
10203,0,0.075598516,Low
10204,0,0.07171998,Low
10205,0,0.21249893,Moderate
10206,0,0.025702821,Low
10207,0,0.116592936,Moderate
10208,0,0.079544336,Low
10209,0,0.120617844,Moderate
10210,0,0.45933202,High
10211,0,0.28710717,High
10212,1,0.11927397,Moderate
10213,0,0.6177611,Very High
10214,0,0.20926599,Moderate
10215,0,0.119732715,Moderate
10216,0,0.58066154,Very High
10217,1,0.6375879,Very High
10218,0,0.16669238,Moderate
10219,0,0.15838076,Moderate
10220,0,0.14902471,Moderate
10221,0,0.06847086,Low
10222,0,0.13601157,Moderate
10223,0,0.08553664,Low
10224,0,0.11546716,Moderate
10225,0,0.14886859,Moderate
10226,0,0.14696182,Moderate
10227,0,0.057033855,Low
10228,0,0.37837347,High
10229,0,0.16369368,Moderate
10230,0,0.044606376,Low
10231,0,0.5776299,Very High
10232,0,0.13745992,Moderate
10233,1,0.32059252,High
10234,0,0.043610543,Low
10235,0,0.17594709,Moderate
10236,0,0.05757166,Low
10237,0,0.04872879,Low
10238,0,0.3503031,High
10239,0,0.15497209,Moderate
10240,0,0.2532045,High
10241,1,0.51596594,Very High
10242,0,0.19447725,Moderate
10243,0,0.11790821,Moderate
10244,0,0.16990137,Moderate
10245,0,0.16112459,Moderate
10246,0,0.07534622,Low
10247,0,0.080469385,Low
10248,1,0.34161675,High
10249,0,0.15019618,Moderate
10250,0,0.07222258,Low
10251,0,0.33719128,High
10252,1,0.29953888,High
10253,0,0.15469342,Moderate
10254,0,0.14531077,Moderate
10255,1,0.21905793,Moderate
10256,0,0.13962501,Moderate
10257,0,0.35221922,High
10258,0,0.04914898,Low
10259,0,0.100442916,Moderate
10260,0,0.09405718,Low
10261,0,0.08249006,Low
10262,0,0.10143836,Moderate
10263,0,0.14191775,Moderate
10264,0,0.21253327,Moderate
10265,0,0.40809804,High
10266,0,0.14858887,Moderate
10267,0,0.15912527,Moderate
10268,0,0.08753674,Low
10269,0,0.052526373,Low
10270,0,0.24298471,Moderate
10271,0,0.6185101,Very High
10272,0,0.14591143,Moderate
10273,0,0.32426178,High
10274,0,0.18252954,Moderate
10275,0,0.25215074,High
10276,0,0.01610292,Low
10277,0,0.035528276,Low
10278,0,0.14416595,Moderate
10279,1,0.24661143,Moderate
10280,0,0.23153031,Moderate
10281,0,0.039395347,Low
10282,0,0.4598611,High
10283,0,0.13409209,Moderate
10284,0,0.053447653,Low
10285,0,0.071737915,Low
10286,0,0.023256402,Low
10287,0,0.13771142,Moderate
10288,1,0.17118749,Moderate
10289,0,0.05649254,Low
10290,0,0.11585213,Moderate
10291,0,0.15115845,Moderate
10292,0,0.07818455,Low
10293,0,0.17706208,Moderate
10294,0,0.044392496,Low
10295,0,0.2280121,Moderate
10296,0,0.047906924,Low
10297,0,0.12345026,Moderate
10298,0,0.15243532,Moderate
10299,0,0.081044175,Low
10300,0,0.27450067,High
10301,0,0.06657901,Low
10302,0,0.101210706,Moderate
10303,0,0.3481105,High
10304,0,0.18708585,Moderate
10305,0,0.20540425,Moderate
10306,0,0.10648276,Moderate
10307,0,0.116355784,Moderate
10308,0,0.07791201,Low
10309,0,0.17032707,Moderate
10310,1,0.44148868,High
10311,0,0.09765485,Low
10312,0,0.09570116,Low
10313,0,0.04911807,Low
10314,0,0.14203493,Moderate
10315,1,0.47648814,High
10316,1,0.21912216,Moderate
10317,1,0.5306789,Very High
10318,0,0.140655,Moderate
10319,0,0.074935116,Low
10320,0,0.061871506,Low
10321,0,0.12658158,Moderate
10322,0,0.24881068,Moderate
10323,0,0.42346972,High
10324,0,0.44812253,High
10325,0,0.06978344,Low
10326,1,0.36907926,High
10327,1,0.21552287,Moderate
10328,0,0.06368961,Low
10329,0,0.21116345,Moderate
10330,0,0.66027755,Very High
10331,1,0.4268909,High
10332,0,0.16902077,Moderate
10333,1,0.13074045,Moderate
10334,0,0.17999972,Moderate
10335,0,0.051211346,Low
10336,0,0.1035951,Moderate
10337,0,0.14062227,Moderate
10338,1,0.7863967,Very High
10339,1,0.53665465,Very High
10340,0,0.044118233,Low
